acc,experiment,tank,oyster,treatment,hour.of.death,pulse_no,min.of.death,id,humidity_mean,temp,height_mm,length_mm,width_mm,mass_g,tempsource
15,exp_7,A,5,48,1,A5,60,A5_exp_7,67.56542193,48.26274941,60.48,37.52,10.28,13.81,elitech
15,exp_7,A,6,48,3,A6,180,A6_exp_7,67.56542193,48.26274941,63.67,42.73,13.51,22.96,elitech
15,exp_7,A,7,48,3.5,A7,210,A7_exp_7,67.56542193,48.26274941,57.13,41.65,14.64,20.57,elitech
15,exp_7,A,8,48,6.75,A8,405,A8_exp_7,67.56542193,48.26274941,56.17,35.83,12.81,15.99,elitech
15,exp_7,A,9,48,1,A9,60,A9_exp_7,67.56542193,48.26274941,60.54,40.3,13.6,19.49,elitech
15,exp_7,A,10,48,5,A10,300,A10_exp_7,67.56542193,48.26274941,60.84,42.88,19.46,26.18,elitech
15,exp_7,B,11,34,41.5,B11,2490,B11_exp_7,68.25136677,33.94390302,53.02,44.6,15.44,18.08,elitech
15,exp_7,B,12,34,60.25,B12,3615,B12_exp_7,68.25136677,33.94390302,55.27,39.79,13.98,16.2,elitech
15,exp_7,B,13,34,65.5,B13,3930,B13_exp_7,68.25136677,33.94390302,62.27,42.45,12.29,17.08,elitech
15,exp_7,B,14,34,43.25,B14,2595,B14_exp_7,68.25136677,33.94390302,59.92,33.96,11.71,12.44,elitech
15,exp_7,B,15,34,49.5,B15,2970,B15_exp_7,68.25136677,33.94390302,57.12,41.87,12.53,15.14,elitech
15,exp_7,B,16,34,28.25,B16,1695,B16_exp_7,68.25136677,33.94390302,69.49,33.97,13.27,21.66,elitech
15,exp_7,B,17,34,70,B17,4200,B17_exp_7,68.25136677,33.94390302,61.67,37.6,10.97,14.33,elitech
15,exp_7,B,18,34,35.5,B18,2130,B18_exp_7,68.25136677,33.94390302,67.05,50.18,18.06,36.83,elitech
15,exp_7,B,19,34,54.5,B19,3270,B19_exp_7,68.25136677,33.94390302,62.7,44.08,16.69,19.92,elitech
15,exp_7,B,20,34,40,B20,2400,B20_exp_7,68.25136677,33.94390302,64.4,36.18,11.95,18.15,elitech
